NAMESPACE:justice:USER:t9sk283j421i8:ORDER:rec231,15,NAMESPACE:justice:USER:t9sk283j421i8:ORDER:rec231:action:15,1
NAMESPACE:*:USER:*:ORDER:*,15,NAMESPACE:justice:USER:342t2345yw:ORDER:rec231:action:15,1
NAMESPACE:*:USER:*:FULFILMENT:*,7,NAMESPACE:evil:USER:3k123l4k1:ACHIEVEMENT:ach342w:action:15,0
NAMESPACE:justice:ORDER:rec231,15,NAMESPACE:evil:USER:*:ORDER:*:action:15,1
NAMESPACE:evil:PAYMENT:*,8,NAMESPACE:justice:ROLEID:GODMODE:action:8,1
NAMESPACE:justice:PAYMENT:*,15,NAMESPACE:justice:FILEUPLOAD:action:8,1
NAMESPACE:*:USER:*:FULFILLMENT:*:action:7,6,NAMESPACE:justice:FILEUPLOAD:action:2,1
NAMESPACE:justice:CANCONNECT:TRUE,8,NAMESPACE:justice:FILEUPLOAD:action:1,0
NAMESPACE:justice:ROLEID:GODMODE,8,NAMESPACE:*:FILEUPLOAD:action:10,1
NAMESPACE:justice:ROLEID:GODMODE_HEALTH_ONLY,8,NAMESPACE:*:PAYMENT:*:action:8,1
NAMESPACE:*:FILEUPLOAD,10,NAMESPACE:justice:ACHIEVEMENT:*:action:15,0
,,NAMESPACE:justice:ROLEID:GODMODE,1
,,NAMESPACE:justice:ROLEID:GODMODE*,1